NAME,,,,,,,
,,,,,,,
,,,,,,,
,MONDAY,TUESDAY,WEDNESDAY,THRUSDAY,FRIDAY,SATURDAY,SUNDAY
,White Bread,White Bread,White Bread,White Bread,White Bread,White Bread,White Bread
,Butter / Jam,Butter / Jam,Butter / Jam,Butter / Jam,Butter / Jam,Butter / Jam,Butter / Jam
Breakfast,Tea / Coffee / Milk,Tea / Coffee / Milk,Tea / Coffee / Milk,Tea / Coffee / Milk,Tea / Coffee / Milk,Tea / Coffee / Milk,Tea / Coffee / Milk
,Ghee Pongal,Bisi Bele Bath,Idly,Poha,Rava Vangi Bath,Veg Shavige Bath,Kesari Bath with Pineapple
,Set Dosa,Pav,Uddina Vada,Poori,Besan Chilla,Masala Dosa,Aloo Paratha
,"Coconut Chutney , Veg Sagu","Bhaji , Khara Boondi","Tomato Onion Sambar ,
 Chutney","Bombay Sagu , Chutney","Tomato Gojju , Green Chutney",Coconut Chutney,Curd
,Boiled Eggs,Watermelon,Boiled Egg,Papaya,Boiled Egg,Banana,x
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Green Salad,Tossed Salad,Green Salad,Kosambari Salad,Green Salad,Green Salad,Hyderabadi Egg Biryani
,Aloo Jeera,Veg Jalfrezi,Cabbage Peas,Baingan Achari,Carrot Methi Sabzi,Egg Roast Masala,
,Punjabi Rajma Masala,Soya Matar Masala,Amritsari Pindi Chole,Corn & Palak Masala,Okra Masala,Gobi Pepper Garvy,
Lunch,Lasooni Dal Palak,Ridge Gourd Sambar,Dal Butter,Masoor Dal Tadka,Dal Makhani,Mint Rasam,Baby Potato Hyderabadi Dum Biryani
,x,Vangi Bath,x,Curd Rice,x,x,
,Plain Rice,Plain Rice,Plain Rice,Plain Rice,Plain Rice,Plain Rice,
,x,Green Chutney,x,Curd,Curd,Curd,Raita
,Fryums,Fryums,Fryums,Fryums,Fryums,Fryums,
,Pickle,Pickle,Pickle,Pickle,Pickle,Pickle,
,Chapati,Pulka,Chapati,Pulka,Chapati,Triangle Paratha,Tang Juice (Orange)
,,x,Buttermilk,x,Tang Juice (Lime),x,
,x,Vermicelli Custard,x,x,x,Gulab Jamun (1 Pcs),x
,,,,,,,
,Finger Cucumber Salad,"Cucumber , Carrot Salad",Green Salad,"Onion , Tomato , Cucumber",Onion Salad,Green Salad,"Cucumber , Onion"
,Bagara Baingan,Bhindi Kurkuri,Panner Butter Masala,Snake Gourd Chana Poriyal,x,Tendli Kala Chana Fry,x
,Green Moongdal Curry,Adraki Gobi Masala,Chicken Butter Masala,Malai Matar Masala,Chole Masala,Aloo Capsicum Masala,Veg Butter Masala
Dinner,Bottle Gourd Sambar,Dal Bhukara,x,Aloo Brinjal Sambar,x,Radish Sambar,Dal Kolhapuri
,Plain Rice,Plain Rice,x,Plain Rice,x,Plain Rice,Plain Rice
,Corn & Peas Pulao,Pepper Rasam,Jeera Rice,Ginger Rasam,Veg Pulao,x,Pepper Rasam
,Raita,x,Dal Tadka,x,Raita,Tomato Rasam,x
,Pulka,Chapati,Pulka,Phulka,Bhature,Phulka,Lachha Paratha
,Tang Juice (Lime),Buttermilk,x,Buttermilk,Tang Juice (Mango),x,Buttermilk
,x,x,Tutti Frutti Cake (1 Pcs),x,x,x,x